grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int
36,65.957,45.252,320.62,1695.6,38.876,5877.0,86.5,(-40-18-45),[-564035],Other/Random,37.47,"-40,-18,-45","-56,40,35"
37,39.562,11.416,298.69,1738.65,13.784,999.0,35.66,(4324),[25-1],Other/Random,24.53,"4,3,24","2,5,-1"
38,327.721,47.633,38.32,1778.07,8.546,1071.0,36.93,(-56-36-63),[-218-9],Other/Random,28.07,"-56,-36,-63","-2,18,-9"
39,169.444,17.122,209.68,1833.2,10.442,693.0,29.7,(-18-7-63),[-2-61],Other/Random,25.62,"-18,-7,-63","-2,-6,1"
40,140.005,48.791,219.76,1860.63,7.742,558.0,26.65,(-7-6-8),[9-4525],Other/Random,31.4,"-7,-6,-8","9,-45,25"
41,343.02,4.491,351.53,1892.31,10.121,819.0,32.29,(-10-9),[-120],Other/Random,20.05,"-1,0,-9","-1,2,0"
42,243.067,20.292,96.81,1930.2,1.8,225.0,16.93,(-2-1-6),[4015-16],Other/Random,28.5,"-2,-1,-6","40,15,-16"
43,173.021,23.066,202.5,1954.41,20.51,2313.0,54.27,(-30-7),[-3-122],Other/Random,27.7,"-3,0,-7","-3,-12,2"
44,171.007,25.33,191.08,2011.84,17.387,2115.0,51.89,(-4-1-9),[0-91],Other/Random,20.61,"-4,-1,-9","0,-9,1"
45,319.547,52.106,41.03,2062.3,19.206,1836.0,48.35,(-6-5-6),[-1672-45],Other/Random,33.59,"-6,-5,-6","-16,72,-45"
46,28.805,53.045,313.69,2121.96,24.234,3582.0,67.53,(-54-35-63),[45-63-7],Other/Random,35.46,"-54,-35,-63","45,-63,-7"
47,263.094,33.045,75.22,2121.0,0.0,45.0,7.57,(-45-8-72),[94-6],Other/Random,23.81,"-45,-8,-72","9,4,-6"
48,190.624,22.278,150.68,2153.4,0.6,45.0,7.57,(18545),[-10-357],Other/Random,29.01,"18,5,45","-10,-35,7"
