grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int,on_Lambda_fiber,Lambda_fiber_deviation_deg,on_Gamma_fiber,Gamma_fiber_deviation_deg,on_Eta_fiber,Eta_fiber_deviation_deg,on_Alpha_fiber,Alpha_fiber_deviation_deg
136,47.154,50.547,313.3,5800.25,3.5,216.0,16.58,(1-11),[10-1],Other/Random,34.59,"1,-1,1","1,0,-1",False,50.55,True,4.52,False,36.35,True,14.78
137,35.308,46.834,320.71,5824.35,9.043,621.0,28.12,(1-11),[-218-9],Other/Random,28.95,"1,-1,1","-2,18,-9",False,46.83,True,10.89,False,28.12,False,18.15
138,174.604,45.294,213.97,5866.38,5.676,333.0,20.59,(919),[-327227],Other/Random,30.4,"9,1,9","-32,72,27",False,44.96,False,31.43,False,30.39,False,27.03
139,35.434,50.484,315.67,5886.97,6.088,306.0,19.74,(1-11),[10-1],Other/Random,33.18,"1,-1,1","1,0,-1",False,50.48,True,8.7,False,32.79,True,12.68
140,319.578,50.156,36.47,5912.76,11.79,900.0,33.85,(-1-11),[-1863-35],Other/Random,31.13,"-1,-1,1","-18,63,-35",False,50.16,True,5.84,False,30.78,False,21.53
141,165.113,44.295,220.41,5971.18,14.131,2673.0,58.34,(-32-9-36),[-18-6335],Other/Random,31.54,"-32,-9,-36","-18,-63,35",False,44.3,False,24.98,False,31.23,False,22.37
142,28.085,50.473,323.03,6026.63,2.625,72.0,9.57,(1-11),[1-20],Other/Random,27.78,"1,-1,1","1,-2,0",False,47.12,True,14.07,False,27.74,False,17.48
143,331.286,45.049,47.59,6049.41,2.719,288.0,19.15,(-7-4-8),[424-15],Other/Random,33.67,"-7,-4,-8","4,24,-15",False,45.05,False,15.73,False,32.64,False,15.22
144,220.939,54.912,131.54,6082.73,15.455,1188.0,38.89,(-111),[101],Other/Random,38.71,"-1,1,1","1,0,1",False,51.82,True,3.32,False,38.48,True,9.37
145,219.927,54.872,124.91,6119.65,14.49,1377.0,41.87,(-111),[101],Other/Random,38.94,"-1,1,1","1,0,1",False,51.16,True,4.15,False,42.12,True,2.9
146,43.97,52.341,312.95,6147.0,0.0,27.0,5.86,(1-11),[10-1],Other/Random,36.66,"1,-1,1","1,0,-1",False,52.34,True,2.53,False,36.79,True,12.57
147,322.907,35.943,46.87,6212.95,40.857,13180.0,129.52,(-36-28-63),[218-9],Other/Random,31.11,"-36,-28,-63","2,18,-9",False,35.94,False,19.59,False,25.62,False,19.87
148,166.858,41.699,221.32,6330.62,11.547,2025.0,50.78,(-35-8-40),[-3-84],Other/Random,33.12,"-35,-8,-40","-3,-8,4",False,41.7,False,26.82,False,32.49,False,24.91
149,319.56,32.497,62.99,6395.65,24.53,1629.0,45.54,(-5-4-10),[721-12],Other/Random,34.93,"-5,-4,-10","7,21,-12",False,32.5,False,22.45,False,33.59,False,21.95
