# Grain Tolerance Angle: 5.00
# Column 1-3: Average orientation (phi1, PHI, phi2) in degrees
# Column 4-6: Average orientation (phi1, PHI, phi2) in radians
# Column 7-8: Average Position (x, y) in microns
# Column 9: Area of grain in square microns
# Column 10: Diameter of grain in microns
# Line N: For each line of data, there are all informations about a grain.

331.0940,10.3530,50.1400,5.7787,0.1807,0.8751,2391.3100,38.8400,5400.0000,82.9200
315.8610,31.1000,56.8700,5.5128,0.5428,0.9926,2433.0000,6.7690,351.0000,21.1400
318.6070,57.0960,44.0300,5.5608,0.9965,0.7685,2459.4900,22.7180,2169.0000,52.5500
191.3110,45.5480,138.1200,3.3390,0.7950,2.4107,2521.8500,21.8180,3267.0000,64.5000
154.4430,50.3600,220.4200,2.6955,0.8790,3.8471,2559.0000,0.0000,27.0000,5.8600
311.8810,53.4170,39.7300,5.4433,0.9323,0.6935,2585.4300,42.1370,4329.0000,74.2400
169.5720,28.3430,174.0900,2.9596,0.4947,3.0384,2612.6600,8.6140,1188.0000,38.8900
183.1410,34.8770,153.5400,3.1964,0.6087,2.6798,2655.0000,1.5000,72.0000,9.5700
174.7750,29.7820,159.0700,3.0504,0.5198,2.7763,2669.1800,1.3640,99.0000,11.2300
197.9970,14.4280,130.7900,3.4557,0.2518,2.2828,2727.2200,24.4140,3519.0000,66.9400
147.4580,39.2270,241.4200,2.5736,0.6846,4.2136,2777.6200,15.9940,1575.0000,44.7800
217.7140,24.2430,123.8800,3.7998,0.4231,2.1621,2805.3300,2.3330,81.0000,10.1600
239.5560,8.7140,104.2400,4.1810,0.1521,1.8193,2817.8100,22.3090,1341.0000,41.3200
78.2040,8.4190,285.4000,1.3649,0.1469,4.9812,2841.4000,7.8000,405.0000,22.7100
95.4900,17.8980,263.7300,1.6666,0.3124,4.6030,2868.3400,5.3210,477.0000,24.6400
230.5830,18.9780,110.5300,4.0244,0.3312,1.9291,2898.2700,3.0000,198.0000,15.8800
241.0980,8.6380,95.0400,4.2080,0.1508,1.6587,2913.0000,6.6920,117.0000,12.2100
237.9270,16.6160,99.1800,4.1526,0.2900,1.7311,2945.4000,20.5200,2871.0000,60.4600
197.4090,14.8390,143.1400,3.4454,0.2590,2.4982,2996.3800,5.4910,477.0000,24.6400
346.2560,8.2430,356.9400,6.0433,0.1439,6.2298,3028.7500,25.4800,4122.0000,72.4500
311.4760,18.1080,62.2800,5.4363,0.3160,1.0870,3087.3000,3.6000,90.0000,10.7000
211.5290,4.0960,135.6600,3.6919,0.0715,2.3677,3100.8200,24.1390,2520.0000,56.6400
114.8570,4.3370,230.7400,2.0046,0.0757,4.0272,3162.1300,5.1250,648.0000,28.7200
6.6730,39.0220,4.9500,0.1165,0.6811,0.0863,3213.2300,9.0000,1062.0000,36.7700
40.2560,49.8120,313.3200,0.7026,0.8694,5.4684,3253.7700,5.3530,459.0000,24.1700
232.9990,46.7040,117.1300,4.0666,0.8151,2.0444,3308.5000,31.1960,3996.0000,71.3300
352.6240,30.7980,4.6100,6.1545,0.5375,0.0805,3382.4100,14.4750,2367.0000,54.9000
192.7540,10.0360,167.7700,3.3642,0.1752,2.9281,3435.7900,23.1910,1836.0000,48.3500
129.7760,16.4490,249.3600,2.2650,0.2871,4.3521,3453.4300,0.8570,63.0000,8.9600
206.4690,8.4820,141.0600,3.6036,0.1481,2.4619,3479.1200,33.4400,2331.0000,54.4800
188.7930,10.8200,147.3100,3.2951,0.1889,2.5711,3510.2000,31.8050,2349.0000,54.6900
